lemma,abs_frequency,ipm
попробовать,12015,167
младший,11997,167
ящик,11978,166
лошадь,11978,166
дима,11963,166
следовать,11956,166
птица,11947,166
дедушка,11923,166
тело,11877,165
обязательно,11828,164
ложиться,11826,164
заставлять,11821,164
русский,11815,164
вверх,11808,164
великий,11786,164
колено,11771,163
опускать,11730,163
иванович,11704,163
напоминать,11694,162
сильный,11678,162
крыша,11674,162
солдат,11650,162
хватать,11619,161
плакать,11601,161
зато,11562,161
ворота,11545,160
вытаскивать,11539,160
щека,11519,160
из-под,11499,160
сто,11499,160
стекло,11497,160
радость,11474,159
устраивать,11472,159
лена,11440,159
лететь,11438,159
бог,11416,159
отряд,11411,158
нина,11404,158
железный,11388,158
месяц,11372,158
темнота,11367,158
висеть,11352,158
возражать,11351,158
важный,11330,157
впереди,11324,157
оля,11316,157
улыбка,11274,157
ключ,11268,157
пускать,11268,157
хлеб,11263,156
кто-нибудь,11250,156
надежда,11239,156
кровать,11225,156
доска,11207,156
проверять,11141,155
бумага,11133,155
витя,11115,154
детский,11114,154
интересный,11111,154
довольно,11107,154
здорово,11103,154
нечего,11096,154
петь,11071,154
около,11045,153
вера,11034,153
правильно,11027,153
кончаться,11024,153
страшно,11013,153
профессор,11010,153
жена,11006,153
вовсе,10992,153
столько,10970,152
звук,10958,152
движение,10947,152
счастие,10942,152
просыпаться,10929,152
стул,10916,152
холодный,10910,152
петрович,10909,152
потерять,10901,151
впрочем,10889,151
сад,10889,151
начало,10876,151
цветок,10870,151
внимательно,10857,151
обращать,10827,150
заявлять,10822,150
остров,10821,150
книжка,10810,150
лето,10790,150
пашка,10784,150
поговорить,10782,150
володя,10769,150
против,10740,149
рыба,10731,149
крепко,10730,149
бить,10728,149
бок,10713,149
самолет,10711,149
собственный,10699,149
марина,10682,148
обрадоваться,10679,148
ваня,10656,148
командир,10645,148
кабинет,10635,148
кулак,10631,148
простой,10617,147
петя,10615,147
шея,10606,147
поверять,10604,147
спасать,10595,147
надеяться,10586,147
сережа,10567,147
прощать,10549,147
звонить,10502,146
приводить,10495,146
костер,10468,145
сумка,10462,145
федя,10460,145
рабочий,10453,145
дождь,10410,145
наташа,10395,144
ка,10386,144
враг,10370,144
план,10360,144
легкий,10341,144
звезда,10334,144
подождать,10324,143
ах,10313,143
испугаться,10311,143
чувство,10303,143
